'vel:', 0.6, '| ang:', 0.08878999000640775, '| x_e:', 1, '| y_e:', 1, '| x:', 2.1281004084133466, '| y:', 0.8368323865264806, ,'| x_e:', 0.22197497501601937, '| theta:', 0.7535072150555249
'vel:', 0.6, '| ang:', 0.08536711321270368, '| x_e:', 1, '| y_e:', 1, '| x:', 2.171817747748086, '| y:', 0.8778466386180402, ,'| x_e:', 0.21341778303175918, '| theta:', 0.7635253629758345
'vel:', 0.6, '| ang:', 0.08237575348033764, '| x_e:', 1, '| y_e:', 1, '| x:', 2.215120253087825, '| y:', 0.9192951071424221, ,'| x_e:', 0.20593938370084408, '| theta:', 0.7724583801042288
'vel:', 0.6, '| ang:', 0.07979496725172958, '| x_e:', 1, '| y_e:', 1, '| x:', 2.2580499236742964, '| y:', 0.9611279084907818, ,'| x_e:', 0.1994874181293239, '| theta:', 0.78066883835779
'vel:', 0.6, '| ang:', 0.07748408566615944, '| x_e:', 1, '| y_e:', 1, '| x:', 2.303187254903225, '| y:', 1.0058403079703786, ,'| x_e:', 0.19371021416539858, '| theta:', 0.7883435514925552
'vel:', 0.6, '| ang:', 0.0754293076281821, '| x_e:', 1, '| y_e:', 1, '| x:', 2.342929994234723, '| y:', 1.045817855163756, ,'| x_e:', 0.18857326907045524, '| theta:', 0.7952792734420777
'vel:', 0.6, '| ang:', 0.07354227420133803, '| x_e:', 1, '| y_e:', 1, '| x:', 2.3848927241147506, '| y:', 1.0886181652287958, ,'| x_e:', 0.18385568550334508, '| theta:', 0.8023068994796769
'vel:', 0.6, '| ang:', 0.07166283452857725, '| x_e:', 1, '| y_e:', 1, '| x:', 2.426969766121295, '| y:', 1.132142760688522, ,'| x_e:', 0.17915708632144312, '| theta:', 0.8091009340360156
'vel:', 0.6, '| ang:', 0.06987410999088986, '| x_e:', 1, '| y_e:', 1, '| x:', 2.4679196847147256, '| y:', 1.1750814440302513, ,'| x_e:', 0.17468527497722464, '| theta:', 0.8152851593693828
'vel:', 0.6, '| ang:', 0.06829966473646376, '| x_e:', 1, '| y_e:', 1, '| x:', 2.5090199366452883, '| y:', 1.2187148858108905, ,'| x_e:', 0.1707491618411594, '| theta:', 0.8214971178028296
